"選択された条件"
"表示銘柄件数：543件"

"ティッカー","名称","連動指標","市場","ファクトシート","コメント"
"DRIP","Direxion デイリー S&P 石油・ガス探鉱・生産 ベア2 倍 ETF","S&P Oil & Gas Exploration & Production Select Industry Index","NYSE Arca","https://www.direxion.com/uploads/GUSH-DRIP-Fact-Sheet.pdf","S&P Oil & Gas Exploration & Production Select Industry Indexに連動した成果を目指す。"
"DRIV","グローバルＸ 自動運転＆EV ETF","Solactive Autonomous & Electric Vehicles Index","NASDAQ","https://globalxetfs.co.jp/content/files/DRIV-factsheet_J.pdf","自動運転技術、EV、EVに使用される部品および材料の開発に携わる企業に投資します。"
"DRN","Direxion デイリー米国REITブル3倍 ETF","米国IMI不動産25/50指数","NYSE Arca","http://search.sbisec.co.jp/v3/ex/etf_DRN_160510.pdf","米国IMI不動産25/50指数の300%のパフォーマンスに連動した成果を目指す。"
"DRV","Direxion デイリー米国REITベア3倍 ETF","米国IMI不動産25/50指数","NYSE Arca","http://search.sbisec.co.jp/v3/ex/etf_DRV_160510.pdf","米国IMI不動産25/50指数の値動きの反対方向の300%のパフォーマンスに連動した成果を目指す。"
"DTCR","グローバルX データセンターリート＆デジタルインフラ ETF ","Solactive Data Center REITs & Digital Infrastructure Index ","NASDAQ","https://globalxetfs.co.jp/content/files/DTCR-factsheet_J.pdf","ソラクティブ・データセンターREIT＆ デジタル・インフラストラクチャー・インデックスのパフォーマンスに連動した成果を目指す。"
"DUST","Direxion デイリー 金鉱株 ベア2倍 ETF","NYSE Arca ゴールド マイナーズ インデックス","NYSE Arca","http://search.sbisec.co.jp/v3/ex/etf_DUST_160510.pdf","--"
"DVY","iシェアーズ 好配当株式 ETF","DJ・セレクト・ディビデント・インデックス","NASDAQ","http://jp.ishares.com/documents/ja/factsheet-ja/us/dvy-ishares-dow-jones-select-dividend-index-fund.pdf","ダウ・ジョーンズ セレクト・ディビデンド・インデックスの価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"DXJ","ウィズダムツリー日本株米ドルヘッジ付 ファンド","ウィズダムツリー ジャパン ヘッジド エクイティ インデックス","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dxj-1044.pdf","ウィズダムツリー ジャパン ヘッジド エクイティ インデックスに連動した成果を目指す。"
"EBIZ","グローバル　X　eコマースETF","ソラクティブ e コマース・インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/EBIZ-factsheet-JPN-1.pdf","ソラクティブ e コマース・インデックス（Solactive E-commerce　Index）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を提供することを目指す"
"EBND","SPDR(R) ブルームバーグ 新興国債券（現地通貨建て） ETF","ブルームバーグ・バークレイズ・EMローカル・カレンシー・ガバメント・ダイバーシファイド指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-ebnd.pdf","ブルームバーグ・バークレイズ・EMローカル・カレンシー・ガバメント・ダイバーシファイド 指数に連動した成果を目指す。"
"EDC","Direxion デイリー新興国株ブル3倍 ETF","MSCI新興国株価指数","NYSE Arca","http://search.sbisec.co.jp/v3/ex/etf_EDC_160510.pdf","MSCI新興国株価指数の300%のパフォーマンスに連動した成果を目指す。"
"EDV","バンガード 超長期米国債ETF","バークレイズ米国債STRIPS(20-30年)均等額面インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS930R.pdf","残存期間20～30年の米国債ストリップス債をカバーする、バークレイズ米国債STRIPS(20-30年)均等額面インデックスに連動したパフォーマンスを目指します。"
"EDZ","Direxion デイリー新興国株ベア3倍 ETF","MSCI新興国株価指数","NYSE Arca","http://search.sbisec.co.jp/v3/ex/etf_EDZ_160510.pdf","MSCI新興国株価指数の値動きの反対方向の300%のパフォーマンスに連動した成果を目指す。"
"EEM","iシェアーズ MSCI エマージング・マーケット ETF","MSCI エマージング マーケット インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/eem-ishares-msci-emerging-markets-index-fund.pdf","MSCIエマージング・マーケット・インデックスによって代表されるエマージング市場で取引される証券の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を提供することを目的としています。 "
"EEMS","iシェアーズ MSCI エマージング・マーケット小型株 ETF","MSCI エマージング マーケット小型株インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/eems-ishares-msci-emerging-markets-small-cap-index-fund.pdf","MSCI エマージング・マーケット小型株インデックスの価格および利回り実績と同等水準の投資成果をあげることを目指す。"
"EFA","iシェアーズ MSCI EAFE ETF","MSCI EAFE インデックス","NYSE Arca","https://www.ishares.com/us/literature/fact-sheet/efa-ishares-msci-eafe-etf-fund-fact-sheet-en-us.pdf","MSCI EAFE インデックスによって測定されるヨーロッパ、オーストラリアおよび極東地域の市場で取引される証券の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"EFIV","SPDR S&P 500 ESG ETF","S&P 500 ESG","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-efiv.pdf","S&P500指数と同様の業界グループ全体のウェイトを維持しながら、一定のサステナビリティ基準（基準は環境、社会、ガバナンスの要因に関連）を満たすS&P500企業を選別するよう設計された指数の連動を目指します。"
"EIDO","iシェアーズ MSCI インドネシア ETF","MSCI インドネシア IMI 25/50 インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/eido-ishares-msci-indonesia-investable-market-index-fund.pdf","MSCI インドネシア IMI 25/50 インデックスの価格および利回りの実績に概ね対応する投資成果（手数料および経費控除前）をあげることを目標としています。 "
"EIPI","FT エナジー エンハンスト インカムETF","--","NYSE Arca","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=3101644a-7c76-4a48-a8a9-4bb4e589dbee","エネルギーインフラ関連企業に投資しつつ、コールオプションの売りでインカム収益の向上を実現。"
"ELD","ウィズダムツリー ウィズダムツリー 新興国現地通貨建債券ファンド","アクティブ","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/fixed-income/wisdomtree-factsheet-eld-1021.pdf","新興国の現地通貨建ての現地債券に投資する。"
"EMB","iシェアーズ J.P.モルガン・米ドル建てエマージング・マーケット債券 ETF","JPモルガン・ エマージング・マーケット・ボンド・インデックス・グローバル・コア・インデックス","NASDAQ","https://www.ishares.com/us/literature/fact-sheet/emb-ishares-j-p-morgan-usd-emerging-markets-bond-etf-fund-fact-sheet-en-us.pdf","JPモルガン・エマージング・マーケッツ・ボンド・インデックス・グローバル・コア・インデックスの価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を提供することを目的としています。 "
"EMBD","グローバルＸ 新興国債券 ETF","--","NYSE Arca","https://www.globalxetfs.com/content/files/embd-factsheet.pdf","新興国債券を投資先とするアクティブ型ETF。低コストかつ高利回りでの運用を目指す。"
"EMLC","ヴァンエック ベクトル J.P.モルガン新興国債券(現地通貨建て)ETF","JPモルガン国債指数新興国市場グローバル・コア","NYSE Arca","https://www.vaneck.com/us/en/investments/jp-morgan-em-local-currency-bond-etf-emlc-fact-sheet.pdf","ヴァンエック・ベクトル新興国債券（現地通貨建て）ETFは、JPモルガン国債指数新興国市場グローバル・コアの指数値と投資収益に、手数料及び経費控除前で、できるだけ連動する投資成果を上げることを目標としています。この指数は、新興国の政府によって発行される現地通貨建ての債券によって構成されます。"
"EMLP","FT北米エネルギーインフラファンドETF","--","NYSE Arca","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=fb3669d0-d1a7-4cce-a9ef-30ba42ee7928","米国・カナダのエネルギーインフラ関連企業やMLPに投資するアクティブ運用ファンド。"
"EPHE","iシェアーズ MSCI フィリピン ETF","MSCI フィリピン IMI 25/50 インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/ephe-ishares-msci-philippines-investable-market-index-fund.pdf","MSCI フィリピン IMI 25/50 インデックスの価格および利回りの実績に概ね対応する投資成果（手数料および経費控除前）をあげることを目標としています。 "
"EPI","ウィズダムツリー インド株収益ファンド","ウィズダムツリー インド アーニングス インデックス","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-epi-1066.pdf","ウィズダムツリー インド アーニングス インデックスに連動した成果を目指す。"
"EPOL","iシェアーズ MSCI ポーランド・キャップト ETF","MSCI ポーランド IMI 25/50 インデックス","NYSE Arca","https://www.blackrock.com/jp/individual/ja/literature/fact-sheet/epol-ishares-msci-poland-etf-fund-fact-sheet-ja-jp.pdf","MSCI ポーランド IMI 25/50 インデックスの価格および利回りの実績に概ね対応する投資成果（手数料および経費控除前）をあげることを目標としています。"
